codBairro,bairro,codLocalidade,municipio,codMunicipioIBGE
2,ARIOVALDO FAVALESSA,4858,Vitoria,3205309
3,ANDORINHAS,4858,Vitoria,3205309
4,ANTÔNIO HONÓRIO,4858,Vitoria,3205309
5,BARRO VERMELHO,4858,Vitoria,3205309
6,BELA VISTA,4858,Vitoria,3205309
7,BENTO FERREIRA,4858,Vitoria,3205309
8,BOA VISTA,4858,Vitoria,3205309
9,BONFIM,4858,Vitoria,3205309
10,CARATOÍRA,4858,Vitoria,3205309
11,CENTRO,4858,Vitoria,3205309
12,COMDUSA,4858,Vitoria,3205309
13,CRUZAMENTO,4858,Vitoria,3205309
14,ENSEADA DO SUÁ,4858,Vitoria,3205309
15,ESTRELINHA,4858,Vitoria,3205309
16,FORTE SÃO JOÃO,4858,Vitoria,3205309
17,FRADINHOS,4858,Vitoria,3205309
18,GOIABEIRAS,4858,Vitoria,3205309
19,GRANDE VITÓRIA,4858,Vitoria,3205309
20,GURIGICA,4858,Vitoria,3205309
21,HORTO,4858,Vitoria,3205309
22,ILHA DO BOI,4858,Vitoria,3205309
23,ILHA DAS CAIEIRAS,4858,Vitoria,3205309
24,MONTE BELO,4858,Vitoria,3205309
25,ILHA DE SANTA MARIA,4858,Vitoria,3205309
26,ILHA DO FRADE,4858,Vitoria,3205309
27,ILHA DO PRÍNCIPE,4858,Vitoria,3205309
28,INHANGUETÁ,4858,Vitoria,3205309
29,ITARARÉ,4858,Vitoria,3205309
30,JABOUR,4858,Vitoria,3205309
31,JARDIM CAMBURI,4858,Vitoria,3205309
32,JARDIM DA PENHA,4858,Vitoria,3205309
33,JOANA D´ARC,4858,Vitoria,3205309
34,JUCUTUQUARA,4858,Vitoria,3205309
35,DE LOURDES,4858,Vitoria,3205309
37,MARIA ORTIZ,4858,Vitoria,3205309
38,MARUÍPE,4858,Vitoria,3205309
39,MATA DA PRAIA,4858,Vitoria,3205309
40,MORADA DE CAMBURI,4858,Vitoria,3205309
41,PIEDADE,4858,Vitoria,3205309
42,FONTE GRANDE,4858,Vitoria,3205309
44,JESUS DE NAZARETH,4858,Vitoria,3205309
45,NAZARETH,4858,Vitoria,3205309
46,CONSOLAÇÃO,4858,Vitoria,3205309
47,NOVA PALESTINA,4858,Vitoria,3205309
48,PARQUE MOSCOSO,4858,Vitoria,3205309
49,DA PENHA,4858,Vitoria,3205309
50,PARQUE INDUSTRIAL,4858,Vitoria,3205309
